stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10,10,Dr. Lluch - Mare de Déu del Sufragi,C DOCTOR LLUCH 99 (DAVANT) - VALÈNCIA,39.4672336950355,-0.328305576746874,,,0,
1007,1007,Jesús Morante Borràs (I),AV JESUS MORANTE BORRAS 26 - VALÈNCIA,39.4510148911155,-0.345434552993697,,,0,
1008,1008,Jesús Morante Borràs (II),AV JESUS MORANTE BORRAS 54 - VALÈNCIA,39.4494826719026,-0.344468097469677,,,0,
1009,1009,Jesús Morante Borràs (III),AV JESUS MORANTE BORRAS 86 - VALÈNCIA,39.4479053768273,-0.34402880210044,,,0,
1010,1010,Jesús Morante Borràs (IV),AV JESUS MORANTE BORRAS 158 - VALÈNCIA,39.4441475622766,-0.3439874281021,,,0,
1011,1011,Jesús Morante Borràs (V),AV JESUS MORANTE BORRAS 212 - VALÈNCIA,39.4413438094086,-0.343951832281434,,,0,
1012,1012,Jesús Morante Borràs (VI),AV JESUS MORANTE BORRAS 201 - VALÈNCIA,39.4413473580256,-0.343673874583446,,,0,
1013,1013,Jesús Morante Borràs (VII),AV JESUS MORANTE BORRAS 151 - VALÈNCIA,39.4441791392293,-0.34366895873039,,,0,
1014,1014,Jesús Morante Borràs (VIII),AV JESUS MORANTE BORRAS 75 - VALÈNCIA,39.4478936960831,-0.343864967647953,,,0,
1015,1015,Jesús Morante Borràs (IX),AV JESUS MORANTE BORRAS 56 (DAVANT) - VALÈNCIA,39.4493739401903,-0.344281002068254,,,0,
1016,1016,Jesús Morante Borràs (X),AV JESUS MORANTE BORRAS 26 (DAVANT) - VALÈNCIA,39.451011762366,-0.345267202066986,,,0,
1020,1020,Albereda - Passarel.la de l'Exposició,PSEG ALAMEDA 14 (DAVANT JARDÍ VIA CENTRAL) - VALÈNCIA,39.474004157889,-0.364841098601338,,,0,
1021,1021,Albereda - Pla del Real,PSEG ALAMEDA 1(DAVANT JARDÍ VIA CENTRAL) - VALÈNCIA,39.4764451951202,-0.366829060109775,,,0,
1024,1024,Palau de Justícia - Glorieta,C PALACIO DE JUSTICIA ILLETA - VALÈNCIA,39.4721796313855,-0.369502700808296,,,0,
1026,1026,Ribàs (impar) - Ador,CAMI RIBAS DAVANT  ADOR - CASTELLAR-OLIVERAL,39.432437878101,-0.360710276578108,,,0,
1027,1027,Principal - El Caroig,C  18 - VALÈNCIA,39.4324364000019,-0.362707137756932,,,0,
1028,1028,Mare de Déu de Lepant (impar) - Esc. F. Siurana,PL VIRGEN DE LEPANTO 7 - CASTELLAR-OLIVERAL,39.4295031288394,-0.363665971447042,,,0,
1029,1029,Vicent Puchol - Font de Bonet,C VICENTE PUCHOL 72 - CASTELLAR-OLIVERAL,39.4266084095148,-0.364195059022154,,,0,
1030,1030,Crist del Refugi - Davant Sant Agustí,C CRISTO DEL REFUGIO 60 - CASTELLAR-OLIVERAL,39.4244861345336,-0.363944337407207,,,0,
1032,1032,Tírig - Guàrdia Civil,C TIRIG 4 - VALÈNCIA,39.4822289752108,-0.359115664241092,,,0,
1034,1034,Cerdà de Tallada - Colón,C CERDAN DE TALLADA 2 (DAVANT) - VALÈNCIA,39.4715947563225,-0.369806486350938,,,0,
1035,1035,Aragó - Finlàndia,AV ARAGÓN 22 (DAVANT INSTITUT) - VALÈNCIA,39.470826232474,-0.358644891937225,,,0,
1036,1036,Uruguai - Veneçuela,C URUGUAY 38 - VALÈNCIA,39.4555358259748,-0.387084456216397,,,0,
1038,1038,Arxiduc Carles (impar) - Tres Forques,C ARCHIDUQUE CARLOS 63 - VALÈNCIA,39.4634437379901,-0.396427782416598,,,0,
1039,1039,Ernest Ferrer - Aragó,C ERNESTO FERRER 1 - VALÈNCIA,39.4723529435433,-0.356974583075346,,,0,
1041,1041,Ramón i Cajal - Pintor Benedito,GV RAMON Y CAJAL 25 - VALÈNCIA,39.4660155085642,-0.382265317332949,,,0,
1042,1042,Regne de València - Ciscar,AV REGNE DE VALENCIA 73 - VALÈNCIA,39.4628534385486,-0.363133693913949,,,0,
1044,1044,Vicent Andrés Estellés - Poliesportiu,AV VICENTE ANDRES ESTELLES POLIESPORTIU - BURJASSOT,39.5077206255405,-0.416287168841148,,,0,
1050,1050,Mediterránia - Vicent Brull,C MEDITERRANEO 4 - VALÈNCIA,39.4677785378846,-0.331699753086482,,,0,
1052,1052,Eugènia Viñes - Mare de Déu del Sufragi,C EUGENIA VIÑES 109 (DAVANT BALNEARI) - VALÈNCIA,39.4668893082967,-0.325334990886139,,,0,
1054,1054,Aragó - Saragossa,AV ARAGÓN 4 - VALÈNCIA,39.4686498358746,-0.359977247461038,,,0,
1055,1055,Aragó - Ernest Ferrer,AV ARAGÓN 34 - VALÈNCIA,39.4728157954004,-0.356893358925878,,,0,
1057,1057,Aragó - Blasco Ibáñez,AV ARAGÓN 42 (ACCÉS) - VALÈNCIA,39.4750634033144,-0.355779121865985,,,0,
1060,1060,Pere Cabanes - Mont Carmel,C PEDRO CABANES 10 - VALÈNCIA,39.495423208267,-0.37278530600116,,,0,
1061,1061,Pere Cabanes - Sant Doménec Savio,C PEDRO CABANES 58 - VALÈNCIA,39.494984980555,-0.375328631516906,,,0,
1062,1062,Pere Cabanes - Bisbe Laguarda,C PEDRO CABANES 88 - VALÈNCIA,39.4942418992021,-0.378782919803582,,,0,
1067,1067,Equador - Pintor Matarana,AV ECUADOR  EL 93 (DAVANT) - VALÈNCIA,39.4960789674019,-0.392778232094684,,,0,
