route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
28,FES,831D2I,Ciutat Art. Faller,0,8312,SHP_831_I
28,FES,831D2V,Mercat Central,0,8312,SHP_831_V
28,LAB,831D0I,Ciutat Art. Faller,0,8310,SHP_831_I
28,LAB,831D0V,Mercat Central,0,8310,SHP_831_V
28,SAB,831D1I,Ciutat Art. Faller,0,8311,SHP_831_I
28,SAB,831D1V,Mercat Central,0,8311,SHP_831_V
95,FES,843D2I,Hospital General,0,8432,SHP_843_I
95,FES,843D2V,Marina Real,0,8432,SHP_843_V
95,LAB,843D0I,Hospital General,0,8430,SHP_843_I
95,LAB,843D0V,Marina Real,0,8430,SHP_843_V
95,SAB,843D1I,Hospital General,0,8431,SHP_843_I
95,SAB,843D1V,Marina Real,0,8431,SHP_843_V
4,FES,818D2I,Natzaret,0,8182,SHP_818_I
4,FES,818D2V,Pl. de l'Ajuntament,0,8182,SHP_818_V
4,LAB,818D0I,Natzaret,0,8180,SHP_818_I
4,LAB,818D0V,Pl. de l'Ajuntament,0,8180,SHP_818_V
4,SAB,818D1I,Natzaret,0,8181,SHP_818_I
4,SAB,818D1V,Pl. de l'Ajuntament,0,8181,SHP_818_V
6,FES,847D2I,Nou Hospital La Fe,0,8472,SHP_847_I
6,FES,847D2V,Torrefiel,0,8472,SHP_847_V
6,LAB,847D0I,Nou Hospital La Fe,0,8470,SHP_847_I
6,LAB,847D0V,Torrefiel,0,8470,SHP_847_V
6,SAB,847D1I,Nou Hospital La Fe,0,8471,SHP_847_I
6,SAB,847D1V,Torrefiel,0,8471,SHP_847_V
7,FES,850D2I,Fonteta Sant Lluís,0,8502,SHP_850_I
7,FES,850D2V,Mercat Central,0,8502,SHP_850_V
7,LAB,850D0I,Fonteta Sant Lluís,0,8500,SHP_850_I
7,LAB,850D0V,Mercat Central,0,8500,SHP_850_V
7,SAB,850D1I,Fonteta Sant Lluís,0,8501,SHP_850_I
7,SAB,850D1V,Mercat Central,0,8501,SHP_850_V
8,FES,736D2I,Nou Hospital La Fe,0,7362,SHP_736_I
8,FES,736D2V,Porta de la Mar,0,7362,SHP_736_V
8,LAB,736D0I,Nou Hospital La Fe,0,7360,SHP_736_I
8,LAB,736D0V,Porta de la Mar,0,7360,SHP_736_V
8,SAB,736D1I,Nou Hospital La Fe,0,7361,SHP_736_I
8,SAB,736D1V,Porta de la Mar,0,7361,SHP_736_V
9,FES,853D2I,Albereda,0,8532,SHP_853_I
9,FES,853D2V,la Torre,0,8532,SHP_853_V
9,LAB,853D0I,Albereda,0,8530,SHP_853_I
9,LAB,853D0V,la Torre,0,8530,SHP_853_V
9,SAB,853D1I,Albereda,0,8531,SHP_853_I
9,SAB,853D1V,la Torre,0,8531,SHP_853_V
10,FES,854D2I,Sant Marcel.lí,0,8542,SHP_854_I
10,FES,854D2V,Benimaclet,0,8542,SHP_854_V
10,LAB,854D0I,Sant Marcel.lí,0,8540,SHP_854_I
10,LAB,854D0V,Benimaclet,0,8540,SHP_854_V
10,SAB,854D1I,Sant Marcel.lí,0,8541,SHP_854_I
10,SAB,854D1V,Benimaclet,0,8541,SHP_854_V
11,FES,851D2I,Orriols,0,8512,SHP_851_I
11,FES,851D2V,Patraix,0,8512,SHP_851_V
11,LAB,851D0I,Orriols,0,8510,SHP_851_I
11,LAB,851D0V,Patraix,0,8510,SHP_851_V
11,SAB,851D1I,Orriols,0,8511,SHP_851_I
11,SAB,851D1V,Patraix,0,8511,SHP_851_V
12,FES,827D2V0,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V1,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V2,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V3,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V4,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V5,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V6,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V7,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V8,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V9,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V10,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V11,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V12,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V13,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V14,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V15,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V16,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V17,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V18,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V19,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V20,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V21,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V22,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V23,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V24,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V25,Ciutat Fallera,0,8272,SHP_827_I
12,FES,827D2V26,Pl. Amèrica,0,8272,SHP_827_V
12,FES,827D2V27,Ciutat Fallera,0,8272,SHP_827_I
