trip_id,start_time,end_time,headway_secs
391D1I,6:30:00,7:01:00,1860
391D1I,7:01:00,7:32:00,1860
391D1I,7:32:00,7:50:00,1080
391D1I,7:50:00,22:20:00,618
391D1V,6:00:00,6:30:00,1800
391D1V,6:30:00,7:00:00,1800
391D1V,7:00:00,7:18:00,1080
391D1V,7:18:00,22:20:00,608
860D2I,7:10:00,7:53:00,2580
860D2I,7:53:00,8:16:00,1380
860D2I,8:16:00,8:38:00,1320
860D2I,8:38:00,8:50:00,720
860D2I,8:50:00,14:48:00,671
860D2I,14:48:00,22:25:00,819
860D2V,6:50:00,7:32:00,2520
860D2V,7:32:00,7:54:00,1320
860D2V,7:54:00,8:15:00,1260
860D2V,8:15:00,8:27:00,720
860D2V,8:27:00,14:06:00,636
860D2V,14:06:00,22:20:00,816
860D0I,5:43:00,6:10:00,1620
860D0I,6:10:00,6:30:00,1200
860D0I,6:30:00,7:50:00,600
860D0I,7:50:00,11:43:00,399
860D0I,11:43:00,22:25:00,498
860D0V,5:20:00,6:05:00,2700
860D0V,6:05:00,6:20:00,900
860D0V,6:20:00,8:07:00,459
860D0V,8:07:00,10:42:00,358
860D0V,10:42:00,22:00:00,509
860D0V,22:00:00,22:20:00,1200
860D1I,5:43:00,6:27:00,2640
860D1I,6:27:00,7:12:00,2700
860D1I,7:12:00,7:30:00,1080
860D1I,7:30:00,9:02:00,789
860D1I,9:02:00,22:25:00,573
860D1V,5:20:00,6:05:00,2700
860D1V,6:05:00,6:50:00,2700
860D1V,6:50:00,7:08:00,1080
860D1V,7:08:00,8:37:00,763
860D1V,8:37:00,22:20:00,574
717D2I,7:45:00,8:20:00,2100
717D2I,8:20:00,8:37:00,1020
717D2I,8:37:00,22:20:00,1120
717D2V,7:15:00,7:50:00,2100
717D2V,7:50:00,8:06:00,960
717D2V,8:06:00,22:20:00,1112
717D0I,6:30:00,7:03:00,1980
717D0I,7:03:00,7:35:00,1920
717D0I,7:35:00,7:58:00,1380
717D0I,7:58:00,8:15:00,1020
717D0I,8:15:00,21:26:00,753
717D0I,21:26:00,22:05:00,1200
717D0I,22:05:00,22:30:00,1500
717D0V,6:00:00,6:30:00,1800
717D0V,6:30:00,7:00:00,1800
717D0V,7:00:00,7:20:00,1200
717D0V,7:20:00,22:20:00,767
717D1I,7:30:00,7:56:00,1560
717D1I,7:56:00,8:15:00,1140
717D1I,8:15:00,21:40:00,894
717D1I,21:40:00,22:20:00,1200
717D1V,7:00:00,7:26:00,1560
717D1V,7:26:00,7:45:00,1140
717D1V,7:45:00,22:20:00,884
708D2I,8:00:00,8:25:00,1500
708D2I,8:25:00,8:40:00,900
708D2I,8:40:00,22:20:00,857
708D2V,7:30:00,7:53:00,1380
708D2V,7:53:00,8:13:00,1200
708D2V,8:13:00,22:20:00,886
708D0I,7:15:00,7:32:00,1020
708D0I,7:32:00,7:56:00,720
708D0I,7:56:00,22:15:00,641
708D0V,6:40:00,6:55:00,900
708D0V,6:55:00,22:15:00,654
708D1I,7:10:00,7:32:00,1320
708D1I,7:32:00,7:52:00,1200
708D1I,7:52:00,8:24:00,960
708D1I,8:24:00,22:25:00,826
708D1V,6:40:00,7:00:00,1200
708D1V,7:00:00,8:12:00,1080
708D1V,8:12:00,22:20:00,828
832D2I,8:00:00,8:22:00,1320
832D2I,8:22:00,8:43:00,1260
832D2I,8:43:00,9:04:00,1260
832D2I,9:04:00,9:16:00,720
832D2I,9:16:00,22:30:00,719
832D2V,8:00:00,8:22:00,1320
832D2V,8:22:00,8:44:00,1320
832D2V,8:44:00,9:05:00,1260
832D2V,9:05:00,9:17:00,720
832D2V,9:17:00,22:30:00,697
832D0I,6:52:00,7:12:00,1200
832D0I,7:12:00,22:15:00,583
832D0I,22:15:00,22:30:00,900
832D0V,6:30:00,6:50:00,1200
832D0V,6:50:00,22:05:00,575
832D0V,22:05:00,22:30:00,1500
832D1I,7:30:00,7:55:00,1500
832D1I,7:55:00,8:15:00,1200
832D1I,8:15:00,22:30:00,638
832D1V,7:10:00,7:31:00,1260
832D1V,7:31:00,7:52:00,1260
832D1V,7:52:00,8:06:00,840
832D1V,8:06:00,22:05:00,627
832D1V,22:05:00,22:30:00,1500
679D2I,8:00:00,8:16:00,960
679D2I,8:16:00,22:20:00,917
679D2V,7:45:00,8:00:00,900
679D2V,8:00:00,22:15:00,912
679D0I,7:10:00,7:21:00,660
679D0I,7:21:00,21:47:00,619
679D0I,21:47:00,22:20:00,960
679D0V,6:50:00,7:00:00,600
679D0V,7:00:00,22:15:00,619
679D1I,7:35:00,7:51:00,960
679D1I,7:51:00,22:20:00,723
679D1V,7:20:00,7:34:00,840
679D1V,7:34:00,22:15:00,718
838D2I,7:22:00,8:06:00,2640
838D2I,8:06:00,8:29:00,1380
838D2I,8:29:00,8:52:00,1380
838D2I,8:52:00,9:06:00,840
838D2I,9:06:00,22:25:00,687
838D2V,7:00:00,7:42:00,2520
838D2V,7:42:00,8:05:00,1380
838D2V,8:05:00,8:28:00,1380
838D2V,8:28:00,8:40:00,720
838D2V,8:40:00,22:20:00,706
838D0I,6:35:00,6:58:00,1380
838D0I,6:58:00,7:21:00,1380
838D0I,7:21:00,7:35:00,840
838D0I,7:35:00,22:30:00,529
838D0V,6:10:00,6:33:00,1380
838D0V,6:33:00,6:55:00,1320
838D0V,6:55:00,7:08:00,780
838D0V,7:08:00,22:30:00,528
838D1I,6:55:00,7:18:00,1380
838D1I,7:18:00,7:40:00,1320
838D1I,7:40:00,7:53:00,780
838D1I,7:53:00,22:25:00,647
838D1V,6:30:00,7:15:00,2700
838D1V,7:15:00,7:28:00,780
838D1V,7:28:00,22:00:00,662
838D1V,22:00:00,22:20:00,1200
685D2I,8:00:00,8:35:00,2100
685D2I,8:35:00,9:05:00,1800
685D2I,9:05:00,9:26:00,1260
685D2I,9:26:00,9:46:00,1200
685D2I,9:46:00,21:16:00,1086
685D2I,21:16:00,21:38:00,1320
685D2I,21:38:00,22:00:00,1320
685D2V,7:30:00,8:02:00,1920
685D2V,8:02:00,8:32:00,1800
685D2V,8:32:00,8:52:00,1200
685D2V,8:52:00,22:15:00,1069
685D0I,6:00:00,6:40:00,2400
685D0I,6:40:00,7:03:00,1380
685D0I,7:03:00,7:18:00,900
685D0I,7:18:00,22:05:00,727
685D0V,6:30:00,6:55:00,1500
685D0V,6:55:00,7:11:00,960
685D0V,7:11:00,22:15:00,727
685D1I,7:00:00,7:30:00,1800
685D1I,7:30:00,8:01:00,1860
685D1I,8:01:00,8:19:00,1080
685D1I,8:19:00,22:05:00,974
685D1V,6:30:00,7:30:00,3600
685D1V,7:30:00,8:02:00,1920
685D1V,8:02:00,8:19:00,1020
685D1V,8:19:00,22:15:00,1002
733D2I,7:00:00,7:33:00,1980
733D2I,7:33:00,8:06:00,1980
733D2I,8:06:00,8:28:00,1320
733D2I,8:28:00,8:48:00,1200
733D2I,8:48:00,21:11:00,965
733D2I,21:11:00,21:36:00,1500
733D2I,21:36:00,22:00:00,1440
733D2I,22:00:00,22:25:00,1500
733D2V,7:00:00,7:35:00,2100
733D2V,7:35:00,8:10:00,2100
733D2V,8:10:00,8:32:00,1320
733D2V,8:32:00,8:52:00,1200
733D2V,8:52:00,21:00:00,991
733D2V,21:00:00,21:24:00,1440
733D2V,21:24:00,21:52:00,1680
733D2V,21:52:00,22:20:00,1680
733D0I,6:00:00,6:30:00,1800
733D0I,6:30:00,6:50:00,1200
733D0I,6:50:00,21:50:00,581
733D0I,21:50:00,22:20:00,900
733D0V,5:30:00,5:58:00,1680
733D0V,5:58:00,6:18:00,1200
733D0V,6:18:00,7:20:00,930
733D0V,7:20:00,20:55:00,575
733D0V,20:55:00,22:20:00,975
733D1I,6:05:00,6:38:00,1980
733D1I,6:38:00,7:10:00,1920
733D1I,7:10:00,7:28:00,1080
733D1I,7:28:00,8:12:00,880
733D1I,8:12:00,22:03:00,665
733D1I,22:03:00,22:20:00,1020
733D1V,6:05:00,6:39:00,2040
733D1V,6:39:00,7:13:00,2040
733D1V,7:13:00,7:30:00,1020
733D1V,7:30:00,8:13:00,860
733D1V,8:13:00,22:20:00,671
839D2I,6:30:00,7:15:00,2700
839D2I,7:15:00,7:42:00,1620
839D2I,7:42:00,8:07:00,1500
839D2I,8:07:00,8:21:00,840
839D2I,8:21:00,22:20:00,929
839D2V,7:05:00,7:30:00,1500
839D2V,7:30:00,7:54:00,1440
839D2V,7:54:00,8:12:00,1080
839D2V,8:12:00,21:58:00,930
839D2V,21:58:00,22:20:00,1320
839D0I,5:25:00,6:03:00,2280
839D0I,6:03:00,6:35:00,1920
839D0I,6:35:00,6:55:00,1200
839D0I,6:55:00,21:35:00,493
839D0I,21:35:00,21:50:00,900
839D0I,21:50:00,22:20:00,900
839D0V,6:00:00,6:25:00,1500
839D0V,6:25:00,6:47:00,1320
839D0V,6:47:00,7:02:00,900
839D0V,7:02:00,22:20:00,497
839D1I,5:25:00,6:37:00,4320
839D1I,6:37:00,6:53:00,960
839D1I,6:53:00,22:20:00,800
839D1V,6:00:00,6:40:00,2400
839D1V,6:40:00,7:00:00,1200
839D1V,7:00:00,22:20:00,831
735D0I,3:44:00,4:01:00,1020
735D0I,4:01:00,8:16:00,900
735D0I,8:16:00,22:05:00,524
735D0V,3:28:00,3:45:00,1020
735D0V,3:45:00,7:44:00,896
735D0V,7:44:00,22:15:00,527
735D1I,3:44:00,4:01:00,1020
735D1I,4:01:00,22:05:00,804
735D1V,3:28:00,3:45:00,1020
735D1V,3:45:00,22:15:00,798
861D2I,8:00:00,22:15:00,950
861D2V,7:30:00,22:15:00,948
861D0I,7:05:00,22:20:00,584
861D0V,6:30:00,22:20:00,582
862D0I,12:07:00,14:55:00,593
862D0V,7:28:00,9:09:00,551
861D1I,7:32:00,22:15:00,815
861D1V,7:00:00,22:20:00,800
446D2I,7:25:00,7:53:00,1680
446D2I,7:53:00,8:22:00,1740
446D2I,8:22:00,8:51:00,1740
446D2I,8:51:00,9:06:00,900
446D2I,9:06:00,22:30:00,844
446D2V,7:10:00,7:39:00,1740
446D2V,7:39:00,8:08:00,1740
446D2V,8:08:00,8:37:00,1740
446D2V,8:37:00,8:52:00,900
446D2V,8:52:00,22:15:00,843
446D0I,6:25:00,6:39:00,840
446D0I,6:39:00,21:29:00,545
446D0I,21:29:00,22:25:00,1080
446D0V,6:20:00,6:42:00,1320
446D0V,6:42:00,6:57:00,900
446D0V,6:57:00,21:12:00,540
446D0V,21:12:00,22:25:00,1080
446D1I,6:45:00,7:15:00,1800
446D1I,7:15:00,7:44:00,1740
446D1I,7:44:00,8:13:00,1740
446D1I,8:13:00,8:25:00,720
446D1I,8:25:00,21:48:00,642
446D1I,21:48:00,22:08:00,1200
446D1I,22:08:00,22:30:00,1320
446D1V,6:30:00,7:00:00,1800
446D1V,7:00:00,7:30:00,1800
446D1V,7:30:00,7:59:00,1740
446D1V,7:59:00,8:16:00,1020
446D1V,8:16:00,21:32:00,649
446D1V,21:32:00,21:53:00,1260
446D1V,21:53:00,22:15:00,1320
651D2I,8:15:00,8:47:00,1920
651D2I,8:47:00,9:04:00,1020
651D2I,9:04:00,22:20:00,1111
651D2V,8:00:00,8:32:00,1920
651D2V,8:32:00,8:49:00,1020
651D2V,8:49:00,22:20:00,1108
651D0I,7:02:00,7:22:00,1200
651D0I,7:22:00,8:16:00,1080
651D0I,8:16:00,22:20:00,679
651D0V,6:45:00,7:05:00,1200
651D0V,7:05:00,7:56:00,1020
651D0V,7:56:00,22:02:00,677
651D0V,22:02:00,22:20:00,1080
651D1I,7:13:00,7:45:00,1920
651D1I,7:45:00,8:18:00,1980
651D1I,8:18:00,8:33:00,900
651D1I,8:33:00,22:00:00,794
651D1I,22:00:00,22:20:00,1200
651D1V,7:00:00,7:32:00,1920
651D1V,7:32:00,8:04:00,1920
651D1V,8:04:00,8:17:00,780
651D1V,8:17:00,22:00:00,796
651D1V,22:00:00,22:20:00,1200
709D2I,7:20:00,7:45:00,1500
709D2I,7:45:00,8:00:00,900
709D2I,8:00:00,22:15:00,759
709D2V,7:00:00,7:40:00,2400
709D2V,7:40:00,8:05:00,1500
709D2V,8:05:00,8:20:00,900
709D2V,8:20:00,22:20:00,762
709D0I,6:20:00,6:50:00,1800
709D0I,6:50:00,7:02:00,720
709D0I,7:02:00,21:14:00,441
709D0I,21:14:00,22:15:00,820
709D0V,6:00:00,6:30:00,1800
709D0V,6:30:00,6:43:00,780
709D0V,6:43:00,22:20:00,458
709D1I,7:05:00,7:25:00,1200
709D1I,7:25:00,22:15:00,648
709D1V,6:45:00,7:05:00,1200
709D1V,7:05:00,22:05:00,651
709D1V,22:05:00,22:25:00,1200
487D2I,4:30:00,5:22:00,3120
487D2I,5:22:00,6:15:00,3180
487D2I,6:15:00,7:08:00,3180
487D2I,7:08:00,7:38:00,1800
487D2I,7:38:00,8:06:00,1680
487D2I,8:06:00,8:22:00,960
487D2I,8:22:00,22:30:00,642
487D2V,4:55:00,5:48:00,3180
487D2V,5:48:00,6:41:00,3180
487D2V,6:41:00,7:09:00,1680
487D2V,7:09:00,7:37:00,1680
487D2V,7:37:00,7:53:00,960
487D2V,7:53:00,22:02:00,651
487D2V,22:02:00,22:30:00,1680
487D0I,4:30:00,4:55:00,1500
487D0I,4:55:00,5:20:00,1500
487D0I,5:20:00,5:45:00,1500
487D0I,5:45:00,6:05:00,1200
487D0I,6:05:00,8:14:00,516
487D0I,8:14:00,11:47:00,355
487D0I,11:47:00,22:11:00,378
487D0I,22:11:00,22:30:00,540
487D0V,4:30:00,4:55:00,1500
487D0V,4:55:00,5:20:00,1500
487D0V,5:20:00,5:40:00,1200
487D0V,5:40:00,7:58:00,460
487D0V,7:58:00,12:20:00,349
487D0V,12:20:00,22:22:00,380
487D0V,22:22:00,22:30:00,480
487D0V,22:30:00,22:40:00,600
487D1I,4:30:00,4:55:00,1500
487D1I,4:55:00,5:21:00,1560
487D1I,5:21:00,5:47:00,1560
487D1I,5:47:00,6:13:00,1560
487D1I,6:13:00,6:40:00,1620
487D1I,6:40:00,7:08:00,1680
487D1I,7:08:00,7:36:00,1680
487D1I,7:36:00,7:48:00,720
487D1I,7:48:00,22:30:00,536
487D1V,4:30:00,4:55:00,1500
487D1V,4:55:00,5:21:00,1560
487D1V,5:21:00,5:47:00,1560
487D1V,5:47:00,6:14:00,1620
487D1V,6:14:00,6:41:00,1620
487D1V,6:41:00,7:08:00,1620
487D1V,7:08:00,7:20:00,720
487D1V,7:20:00,21:53:00,529
487D1V,21:53:00,22:25:00,720
185D2I,4:10:00,5:01:00,3060
185D2I,5:01:00,5:52:00,3060
185D2I,5:52:00,6:44:00,3120
185D2I,6:44:00,7:11:00,1620
185D2I,7:11:00,7:37:00,1560
185D2I,7:37:00,7:54:00,1020
185D2I,7:54:00,22:00:00,604
